Decil,Clientes,Churns,P media,Tasa churn,Lift,% capturados (acum.)
1,141,113,0.91036814,0.8014184397163121,3.0273420417165786,0.30294906166219837
2,141,78,0.79558843,0.5531914893617021,2.0896697279105587,0.5120643431635389
3,141,65,0.6789767,0.46099290780141844,1.7413914399254655,0.6863270777479893
4,141,45,0.55172825,0.3191489361702128,1.2055786891791684,0.806970509383378
5,141,29,0.41133866,0.20567375886524822,0.7769284885821307,0.8847184986595175
6,140,20,0.2801111,0.14285714285714285,0.5396399846801991,0.938337801608579
7,141,12,0.16142917,0.0851063829787234,0.3214876504477782,0.9705093833780161
8,141,8,0.07151427,0.05673758865248227,0.2143251002985188,0.9919571045576407
9,141,1,0.025831534,0.0070921985815602835,0.02679063753731485,0.9946380697050938
10,141,2,0.008016223,0.014184397163120567,0.0535812750746297,1.0
